platform,rating,text,date,thumbsUp,reviewer
Just Eat,2,"joke of an app, huge service charges and makes prices of items higher than on the actual resturaunts prices. Scam app.",2025-04-12 01:38:07,0,Cillian Doyle
Just Eat,5,love the food,2025-04-11 19:17:57,0,Stacey Lorrell
Just Eat,2,Don't trust the halal filter. Contact the restaurant to confirm if its 100% halal. some restaurants have a combination of halal and non halal items.,2025-04-10 14:57:28,0,LM LH
Just Eat,4,very good service,2025-04-10 00:40:34,0,Danielle O mahony
Just Eat,2,"App keeps changing the delivery address from the one in my address book to my neighbours house, even after we deleted all addresses in the book.",2025-04-08 23:49:23,0,CC
Just Eat,5,fast as lightning ⚡,2025-04-06 23:27:37,0,John Harrington
Just Eat,1,very unsatisfactory customer service.,2025-04-06 02:06:18,0,Edwina Roycroft
Just Eat,5,excellent,2025-04-06 00:07:38,0,Ashraful Islam
Just Eat,1,do not order from this I have had numerous restaurants and takeaways not deliver plus no refund,2025-03-31 01:54:23,0,Tommy Teehan
Just Eat,3,"Yeah, you can order food on it",2025-03-31 00:28:16,0,Samuel McKeon
Just Eat,2,forgot curry sauce with the order,2025-03-30 04:49:25,0,david cunningham
Just Eat,5,is food for when you are to lazy to go out or cook,2025-03-30 03:34:35,0,alex playz
Just Eat,1,"At the last minute, my order was cancelled at McDonald's... when I was in a hurry and didn't have much time, I used this service. At the last damn minute, they cancelled my order because they didn't have a delivery person... I live 5 minutes away, so I decided to arrive late and order at the last minute so they could cancel it. horrible experience",2025-03-28 02:49:27,1,Elena Otilia Maria Manciu
Just Eat,1,"This sleazy app sends advertisements as notifications, including sound, distracting me with offers during the day. The notification categories do not clearly label which one is for advertising. All toggle switches related to advertising in the app settings are disabled, yet the notifications keep coming. Truly despicable. Uninstalling immediately.",2025-03-25 18:54:27,4,JP Rupp
Just Eat,1,"The built-in Map is buggy and slow. Built-in customer service is extremely slow and inefficient (It goes through email instead of a phone number or live chat), there was one option to do a livechat but I had to find it. There was no clearly stated customer service number either, so I had to find it through Google instead. Sometimes in-app calls do not even show up on your side. Experienced a courier lying about delivering my order in a 'safe place'. I did not receive my order.",2025-03-23 23:00:28,5,Ryan Tan
Just Eat,3,food was good but gave me wedges instead of wings,2025-03-23 07:16:07,0,jason mc feely
Just Eat,5,"Fantastic quality authentic & generous portions, using great ingredients. I love this place.",2025-03-22 21:43:28,8,Dara O Reilly
Just Eat,5,"Love it, too easy to waste money",2025-03-20 04:29:39,0,oOjenahsOo
Just Eat,2,Quite annoying that just eat does not save old orders if the menu is updated. I ordered from McDonald's but when I clicked order again only a select number of items came up. I didn't notice until later and had to order again by manually going through McDonald's menu again.,2025-03-19 03:42:40,1,Thomas Flanagan
Just Eat,1,"Useless if, like me, you live in the back end of nowhere. I cannot comment on how useful it might be if you live in D4",2025-03-19 00:00:44,0,Bob Barnes
Just Eat,5,always great 👍,2025-03-18 14:41:31,0,Benedicte Corneliussen
Just Eat,1,order was wrong. simple.,2025-03-18 00:08:27,0,Stephen Sharp
Just Eat,1,"Rip off, €7 in fees added on to total price. I don't mind delivery for €3.99 but another €3 in service fees then? Why pay this when other delivery places don't even charge a quarter of this? Also to add, half of the reviews on this 4.7 rating are people trying to rate restaurants not actually just eat. Another scam",2025-03-16 19:50:02,0,PDPCNTL
Just Eat,5,very good 👍🏻,2025-03-16 03:14:11,0,Thomaz Deniz Costa
Just Eat,5,"fantastic service,",2025-03-16 00:49:58,0,vinnie callan
Just Eat,1,apache is a ripoff nearly 20 euro for a pizza the same size as my opened hand ✋️ 😳 that's ridiculous it wouldn't fill my back tooth,2025-03-15 05:04:13,0,Ritchie Sweny
Just Eat,5,Good,2025-03-15 04:10:03,0,John Somers
Just Eat,5,I've been a customer for few years now and food is always good. never had any issues,2025-03-14 21:35:17,5,Dorota Lorek
Just Eat,5,homely food 😋 😍 👌,2025-03-14 03:45:16,1,Sam Ferguson
Just Eat,1,"Complaints are disregarded and content noted in the complaint is not looked at, and reply with automated useless replies... that don't resolve the matter. but they charge a heafty ""service charge"" on all orders, but provide little service when things go wrong. At least acknowledge mistakes made & escalate them and provide a resolution.",2025-03-11 22:49:08,0,Daaq 360 (Slainte Gamemaster)
Just Eat,2,"The app works well, but service not so much. Drivers keep your food and no one cares or even seems surprised. You'll get a refund but end up hungry with no food anyways. Switched to competition and deleted the app.",2025-03-11 15:46:26,1,Michaela Novotná
Just Eat,5,Cluck's food is top of the range. Love it!,2025-03-10 01:00:12,0,gerard bozyk
Just Eat,1,"Missing items, cold food by the time you get it or drivers marking your order as delivered when at completely wrong place. Caught one driving away with my order 2 blocks away from my address, he was surprised I bothered. At some point I just lost patience to keep calling restaurant about this bs.",2025-03-09 00:16:52,1,-
Just Eat,5,Delicious food 😋. Thank you.,2025-03-08 23:04:59,1,Kieran Matthew Anthony O'Driscoll
